,Unnamed: 0,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio
82,82,Noel Biniés,"folkpoprockalternatiu , cançó d'autor",Hostalric (Selva),https://www.youtube.com/user/noelt8xx,41.74836581822015,2.6337541762933068,Catalunya,"Noel Biniés: folkpoprockalternatiu , cançó d'autor",1
83,83,OnzePM,Indie Rock,Barcelona (Barcelonès),https://www.youtube.com/watch?v=CUrkACOfjsA,41.38589702437025,2.1785127713130708,Catalunya,OnzePM: Indie Rock,1
84,84,Bouzouki dance BETA,Pink punk,Barcelona (Barcelonès),https://www.youtube.com/watch?v=_dwc3N0hINI,41.390772347913675,2.1859720584084763,Catalunya,Bouzouki dance BETA: Pink punk,1
85,85,Enric EZ,"Cantautor, mediterrani, pop, àfrica, jazz, soul. Life music",Santa Maria de Palautordera (Vallès Oriental),https://www.youtube.com/watch?v=DJ_HFjwytts,41.69870554016723,2.450406313621385,Catalunya,"Enric EZ: Cantautor, mediterrani, pop, àfrica, jazz, soul. Life music",1
86,86,GUILLOLA,pop/rock alternatiu,Figueres (Alt Empordà),https://www.youtube.com/watch?v=9vQNi8v4OWg,42.275881684346196,2.9735149837872523,Catalunya,GUILLOLA: pop/rock alternatiu,1
87,87,EL TIO LA CARETA,ROCK ALTERNATIU,VALÈNCIA (València),None,39.4762311110829,-0.37107930053131644,Comunitat Valenciana,EL TIO LA CARETA: ROCK ALTERNATIU,2
88,88,Lia Sampai,Cançó d'autor,Cerdanyola del Vallès (Vallès Occidental),https://www.youtube.com/watch?v=6QFIM-iqUWg,41.4966158040416,2.141490535327851,Catalunya,Lia Sampai: Cançó d'autor,1
89,89,Joa Lwest,"Pop, Folk",Rubí (Vallès Occidental),None,41.49570853881584,2.0383956083407395,Catalunya,"Joa Lwest: Pop, Folk",1
90,90,Sempre Amunt,Pop / musica d'Autor / Rumba,Barcelona (Barcelonès),https://www.youtube.com/watch?v=XGArQD7mGDo&feature=youtu.be,41.38742271363779,2.178928052308866,Catalunya,Sempre Amunt: Pop / musica d'Autor / Rumba,1
91,91,Les Buch,Punk rock,Terrassa (Vallès Occidental),https://www.youtube.com/watch?v=MVMAb5uD13Y,41.56939174409824,2.0142609501510456,Catalunya,Les Buch: Punk rock,1
92,92,David Ràfols,Pop-Rock,Vilafranca del Penedès  (Alt Penedès),None,41.35061683669887,1.704734149874376,Catalunya,David Ràfols: Pop-Rock,1
93,93,Marina Freixas,Pop intimista,Igualada (Anoia),None,41.57953929020371,1.6236475613038641,Catalunya,Marina Freixas: Pop intimista,1
94,94,La Corda Fluixa,Pop Folk,Puigcerdà (Cerdanya),https://www.youtube.com/watch?v=nCHFnpotxiM,42.43526060047597,1.9299254918206477,Catalunya,La Corda Fluixa: Pop Folk,1
95,95,LEGENDARI,Folk rock,Palau Solità i Plegamans (Vallès Occidental),https://www.youtube.com/watch?v=QpxKdWNQ8Iw,41.58759915904471,2.184600796531141,Catalunya,LEGENDARI: Folk rock,1
96,96,Eva González Menal,"personal: soul, indie, acústic, música medicina, instrumental, experimental... amb ganes sempre de provar nous sons i instruments.",Ripollet (Barcelonès),https://www.youtube.com/watch?v=-QhsjAP6Uvk,41.50095067718312,2.166110384692836,Catalunya,"Eva González Menal: personal: soul, indie, acústic, música medicina, instrumental, experimental... amb ganes sempre de provar nous sons i instruments.",1
97,97,Sequoia,Indie Folk,Barcelona (Barcelonès),https://www.youtube.com/watch?v=JVGNyPv_6ko,41.387982848173664,2.1804273033001933,Catalunya,Sequoia: Indie Folk,1
98,98,Punkgrossos,PunkRock,Barcelona (Barcelonès),None,41.38653330338531,2.1836702538620645,Catalunya,Punkgrossos: PunkRock,1
99,99,FA1NA,Fusió de rumba catalana i flamenca,Mollerussa (Pla d'Urgell),https://www.youtube.com/watch?v=rAHMKxRhGng,41.6380241959153,0.8995397514877649,Catalunya,FA1NA: Fusió de rumba catalana i flamenca,1
100,100,Carla Font,Pop,Lleida (Segrià),https://www.youtube.com/watch?v=iwpYLfVrmUM&feature=youtu.be,41.61620503711217,0.630064950367748,Catalunya,Carla Font: Pop,1
101,101,David Martí,Pop d'autor,Castellfollit del Boix  (Bages),None,41.6686741093645,1.6933718464853675,Catalunya,David Martí: Pop d'autor,1
102,102,Efímer,Pop,Vic (Osona),https://www.youtube.com/channel/UCd1e7TjzZGHbriMGkcbVslQ/videos,41.93211188775773,2.2635747142656855,Catalunya,Efímer: Pop,1
103,103,Màresan,Pop-Folk,La Ràpita (Montsià),https://www.youtube.com/watch?v=DxyZHRPENcU&t=108s,39.91707054197069,-0.22991493157160295,Comunitat Valenciana,Màresan: Pop-Folk,2
104,104,Laura Esparza i Carlos Esteban,Indie folk,València (València),https://www.youtube.com/watch?v=q6bNMrhsAeQ,39.470725456837194,-0.37092590147944465,Comunitat Valenciana,Laura Esparza i Carlos Esteban: Indie folk,2
105,105,Marco Pompero,Indie folk mediterrani,Alcoi (Alcoi),https://www.youtube.com/watch?v=bQj2SSUvaG8,38.69836108852163,-0.4702660929083514,Comunitat Valenciana,Marco Pompero: Indie folk mediterrani,2
106,106,Laura Jareño,"bossa nova, cantautor,  pop",Santa Coloma de Gramenet (Barcelonès),None,41.45292350431851,2.210124886891828,Catalunya,"Laura Jareño: bossa nova, cantautor,  pop",1
107,107,Estepes,Rockelectrocústic,Lloseta (Raiguer),None,39.72011235468531,2.8758303348408454,Illes Balears,Estepes: Rockelectrocústic,3
108,108,Maüpas,Cançó d'autor,Sabadell (Barcelonès),https://www.youtube.com/watch?v=jSWrWouRbAg&feature=youtu.be,41.54598620651563,2.114881876334429,Catalunya,Maüpas: Cançó d'autor,1
109,109,Saüc en flor,Folk silvestre,Pineda de Mar (Barcelonès),https://www.youtube.com/watch?v=PcAQooSjS-o&t=5s,41.63272139325636,2.6977876544214934,Catalunya,Saüc en flor: Folk silvestre,1
110,110,Vèrtex Buit,Cançó d'autor / Rock alternatiu,Golmés (Pla d'Urgell),None,41.64242755665485,0.935109097558684,Catalunya,Vèrtex Buit: Cançó d'autor / Rock alternatiu,1
111,111,NICÒMAC,Rock simfònic,Badalona (Barcelonès),None,41.45671993880761,2.2554806466035506,Catalunya,NICÒMAC: Rock simfònic,1
112,112,Kàfkia,Rock alternatiu,La Cellera de Ter (Selva),https://www.youtube.com/watch?v=cTfWMNNQewc,41.97602497506607,2.6238247512632475,Catalunya,Kàfkia: Rock alternatiu,1
113,113,Ego,"Rock, punk, funk, electrònica",Lleida (Segrià),https://www.youtube.com/watch?v=CJAwpfJz1co,41.62342982539695,0.6358100498058549,Catalunya,"Ego: Rock, punk, funk, electrònica",1
114,114,PROJECTE MAU,Rock - Folck,SARRIÀ DE TER - (GIRONA) (Gironès),None,42.01912126853828,2.823601448332864,Catalunya,PROJECTE MAU: Rock - Folck,1
115,115,Koalanú,Rock Indie Reggae,Figueres (Alt Empordà),None,42.2690152322712,2.9719581420223213,Catalunya,Koalanú: Rock Indie Reggae,1
116,116,Hugkakke,música urbana,Igualada (Anoia),https://www.youtube.com/watch?v=0tGL_gBGls8,41.58687489260021,1.619628215451111,Catalunya,Hugkakke: música urbana,1
117,117,Massaviu,Pop alternatiu i música urbana,Cardedeu i Sant Esteve de Palautordera (Vallès Oriental),https://www.youtube.com/channel/UCh1_-QpgzIdG-3QfCMfZi6w,41.638584822390335,2.3579463818874675,Catalunya,Massaviu: Pop alternatiu i música urbana,1
118,118,BELZONI,Pop-Rock,El Masnou (Maresme),None,41.48384078912455,2.3210976187865713,Catalunya,BELZONI: Pop-Rock,1
119,119,Kim the Mowgli,Pop Rock,Andorra la vella (Baix Camp),None,42.51085351273221,1.5311025180276878,AndorralaVella,Kim the Mowgli: Pop Rock,4
120,120,SKÉLETORS,Rock-Metall,Girona (Gironès),https://www.youtube.com/watch?v=52r-wvlDraw,41.979715391155736,2.827432960469865,Catalunya,SKÉLETORS: Rock-Metall,1
121,121,Malson Atmosfèric,"Rap, Trap, Hip/Hop, Urban",Sant Julià de Ramis (Gironès),https://www.youtube.com/watch?v=Q2aeYV3Xucs,42.02856659226786,2.8543670161338417,Catalunya,"Malson Atmosfèric: Rap, Trap, Hip/Hop, Urban",1
122,122,Pol Bordas,Música Urbana,Girona (Gironès),https://www.youtube.com/watch?v=FOZrYjFAidU,41.98842363453595,2.82528455668149,Catalunya,Pol Bordas: Música Urbana,1
123,123,Saüc,Rock / Rock dur / Metal alternatiu,Balaguer (Noguera),https://www.youtube.com/watch?v=c-KH8tAP0I0,41.79235127377231,0.8110488016905792,Catalunya,Saüc: Rock / Rock dur / Metal alternatiu,1
124,124,Sabana,Pop,Granollers (Vallès Oriental),None,41.614227500187,2.2960162991290587,Catalunya,Sabana: Pop,1
125,125,Tomeu Juan Fuster,Cançó d'autor,Palma de Mallorca (Palma),None,39.573989795519005,2.6582513844824254,Illes Balears,Tomeu Juan Fuster: Cançó d'autor,3
126,126,WAN HU,Pop-Folk-Indie,Barcelona (Barcelonès),https://www.youtube.com/watch?v=NRjW4ifxbRY,41.388642148002724,2.1867877691390847,Catalunya,WAN HU: Pop-Folk-Indie,1
127,127,Marian,Pop-rock.,Santa Eulàlia de Riuprimer (Osona),https://www.youtube.com/watch?v=weOLhEcIc-0,41.91660311927646,2.1977633864419537,Catalunya,Marian: Pop-rock.,1
128,128,Lalo Garau,Pop,Palma (Palma),https://www.youtube.com/watch?v=cG3wAXFYALU,39.5729345822463,2.6571096836174206,Illes Balears,Lalo Garau: Pop,3
129,129,Saó,Fusió de músiques brasileres i llatines en català,Barcelona (Barcelonès),https://www.youtube.com/channel/UCPUd7QF_Jj9Xm1kqDZ2txrQ,41.38592263297799,2.183107335774838,Catalunya,Saó: Fusió de músiques brasileres i llatines en català,1
130,130,Abast,Pop/Música de cantautor,Barcelona (Barcelonès),None,41.391223902376744,2.178441942269187,Catalunya,Abast: Pop/Música de cantautor,1
131,131,Cuarto Segunda,Rap amb banda,"Lleida, Les Franqueses del Vallès, l'Ametlla i La Garriga. (Vallès Oriental)",https://www.youtube.com/watch?v=4_83piwLTzw,41.622907679492826,0.6287077039091676,Catalunya,Cuarto Segunda: Rap amb banda,1
132,132,Terra Ferma,"Ska Fusió, mescla de l'ska més clàssic amb rock, reggae i hip-hop.",Reus (Baix Camp),https://www.youtube.com/watch?v=tA8Ybx56aGQ,41.15720362229701,1.1167685378393644,Catalunya,"Terra Ferma: Ska Fusió, mescla de l'ska més clàssic amb rock, reggae i hip-hop.",1
133,133,Musclu,Pop electrònic,Barcelona (Barcelonès),https://www.youtube.com/watch?v=Wc4UkCt8xuI,41.391366131493164,2.1810039018512817,Catalunya,Musclu: Pop electrònic,1
134,134,Pol Cortés,Pop,Sant Cugat del Vallès - Barcelona (Barcelonès),None,41.48282145418637,2.084098777884684,Catalunya,Pol Cortés: Pop,1
135,135,Sense Nom,Pop - Rock - Rumba catalana,Cornellà de Llobregat (Baix Llobregat),https://www.youtube.com/watch?v=AJ6WYgl16Xc,41.356328239907974,2.0762805811627727,Catalunya,Sense Nom: Pop - Rock - Rumba catalana,1
136,136,Cala Joia,Cantautor,Ciutadella de Menorca (Menorca),https://www.youtube.com/watch?v=hSz9IsC2TLA,40.00548535515389,3.845178889454155, Menorca,Cala Joia: Cantautor,0
137,137,Cat Vicens,Folk acústic/cançó d'autor,Viladecans (Baix Llobregat),None,41.321743085379644,2.019086254825209,Catalunya,Cat Vicens: Folk acústic/cançó d'autor,1
138,138,MON,Pop-Rock,Blanes (Selva),None,41.68306791799717,2.793667052424894,Catalunya,MON: Pop-Rock,1
