,Unnamed: 0,Unnamed: 0.1,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio,yearDownload
107,107,107,Estepes,Rockelectrocústic,Lloseta (Raiguer),None,39.72629038894887,2.8732681588237083,Illes Balears,Estepes: Rockelectrocústic,3.0,2020
108,108,108,Maüpas,Cançó d'autor,Sabadell (Barcelonès),https://www.youtube.com/watch?v=jSWrWouRbAg&feature=youtu.be,41.54509565159547,2.1215276652040678,Catalunya,Maüpas: Cançó d'autor,1.0,2020
109,109,109,Saüc en flor,Folk silvestre,Pineda de Mar (Barcelonès),https://www.youtube.com/watch?v=PcAQooSjS-o&t=5s,41.63416639800553,2.6898716502960305,Catalunya,Saüc en flor: Folk silvestre,1.0,2020
110,110,110,Vèrtex Buit,Cançó d'autor / Rock alternatiu,Golmés (Pla d'Urgell),None,41.64283525715264,0.9400757008184286,Catalunya,Vèrtex Buit: Cançó d'autor / Rock alternatiu,1.0,2020
111,111,111,NICÒMAC,Rock simfònic,Badalona (Barcelonès),None,41.4579295333695,2.252311873897232,Catalunya,NICÒMAC: Rock simfònic,1.0,2020
112,112,112,Kàfkia,Rock alternatiu,La Cellera de Ter (Selva),https://www.youtube.com/watch?v=cTfWMNNQewc,41.97069225561077,2.6252481060786987,Catalunya,Kàfkia: Rock alternatiu,1.0,2020
113,113,113,Ego,"Rock, punk, funk, electrònica",Lleida (Segrià),https://www.youtube.com/watch?v=CJAwpfJz1co,41.62292461823874,0.631102425627329,Catalunya,"Ego: Rock, punk, funk, electrònica",1.0,2020
114,114,114,PROJECTE MAU,Rock - Folck,SARRIÀ DE TER - (GIRONA) (Gironès),None,42.016361666128894,2.8238650528999716,Catalunya,PROJECTE MAU: Rock - Folck,1.0,2020
115,115,115,Koalanú,Rock Indie Reggae,Figueres (Alt Empordà),None,42.269555280089975,2.9691787739580766,Catalunya,Koalanú: Rock Indie Reggae,1.0,2020
116,116,116,Hugkakke,música urbana,Igualada (Anoia),https://www.youtube.com/watch?v=0tGL_gBGls8,41.58470245695709,1.6209566292526214,Catalunya,Hugkakke: música urbana,1.0,2020
117,117,117,Massaviu,Pop alternatiu i música urbana,Cardedeu i Sant Esteve de Palautordera (Vallès Oriental),https://www.youtube.com/channel/UCh1_-QpgzIdG-3QfCMfZi6w,41.64360206130695,2.3645145248273183,Catalunya,Massaviu: Pop alternatiu i música urbana,1.0,2020
118,118,118,BELZONI,Pop-Rock,El Masnou (Maresme),None,41.482611695201406,2.31809202240262,Catalunya,BELZONI: Pop-Rock,1.0,2020
119,119,119,Kim the Mowgli,Pop Rock,Andorra la vella (Baix Camp),None,42.512110293513345,1.5308189131747216,AndorralaVella,Kim the Mowgli: Pop Rock,4.0,2020
120,120,120,SKÉLETORS,Rock-Metall,Girona (Gironès),https://www.youtube.com/watch?v=52r-wvlDraw,41.985904311875885,2.82807757884582,Catalunya,SKÉLETORS: Rock-Metall,1.0,2020
121,121,121,Malson Atmosfèric,"Rap, Trap, Hip/Hop, Urban",Sant Julià de Ramis (Gironès),https://www.youtube.com/watch?v=Q2aeYV3Xucs,42.02944369520038,2.8578782322136225,Catalunya,"Malson Atmosfèric: Rap, Trap, Hip/Hop, Urban",1.0,2020
122,122,122,Pol Bordas,Música Urbana,Girona (Gironès),https://www.youtube.com/watch?v=FOZrYjFAidU,41.981656271740384,2.8207356621012067,Catalunya,Pol Bordas: Música Urbana,1.0,2020
123,123,123,Saüc,Rock / Rock dur / Metal alternatiu,Balaguer (Noguera),https://www.youtube.com/watch?v=c-KH8tAP0I0,41.7970773981896,0.8105991137742615,Catalunya,Saüc: Rock / Rock dur / Metal alternatiu,1.0,2020
124,124,124,Sabana,Pop,Granollers (Vallès Oriental),https://youtu.be/lSzoXbo4VSs,41.610880823351366,2.2883732843916342,Catalunya,Sabana: Pop,1.0,2020
125,125,125,Tomeu Juan Fuster,Cançó d'autor,Palma de Mallorca (Palma),https://www.youtube.com/playlist?list=PLIHZApSkCjI2gbrXGX0sEdxAD38LZ5qPv,39.57893756357339,2.654396810214932,Illes Balears,Tomeu Juan Fuster: Cançó d'autor,3.0,2020
126,126,126,WAN HU,Pop-Folk-Indie,Barcelona (Barcelonès),https://www.youtube.com/watch?v=NRjW4ifxbRY,41.392847969066494,2.183296790123749,Catalunya,WAN HU: Pop-Folk-Indie,1.0,2020
127,127,127,Marian,Pop-rock.,Santa Eulàlia de Riuprimer (Osona),https://www.youtube.com/watch?v=weOLhEcIc-0,41.91140770200927,2.1906719838280777,Catalunya,Marian: Pop-rock.,1.0,2020
128,128,128,Lalo Garau,Pop,Palma (Palma),https://www.youtube.com/watch?v=cG3wAXFYALU,39.57113406519269,2.652112706229764,Illes Balears,Lalo Garau: Pop,3.0,2020
129,129,129,Saó,Fusió de músiques brasileres i llatines en català,Barcelona (Barcelonès),https://www.youtube.com/channel/UCPUd7QF_Jj9Xm1kqDZ2txrQ,41.38704766643664,2.177599746779164,Catalunya,Saó: Fusió de músiques brasileres i llatines en català,1.0,2020
130,130,130,Abast,Pop/Música de cantautor,Barcelona (Barcelonès),None,41.38357940698555,2.177437996288227,Catalunya,Abast: Pop/Música de cantautor,1.0,2020
131,131,131,Cuarto Segunda,Rap amb banda,"Lleida, Les Franqueses del Vallès, l'Ametlla i La Garriga. (Vallès Oriental)",https://www.youtube.com/watch?v=4_83piwLTzw,41.61663575814857,0.6362857538358456,Catalunya,Cuarto Segunda: Rap amb banda,1.0,2020
